param_name,param_value,trial_id,timestep,semantic_variance,semantic_spread,polarization_index,mean_similarity,num_reasons
p,1.0,0,1,0.006321304943412542,0.3200486898422241,0.11962753534317017,0.8803724646568298,11
p,1.0,0,2,0.01705295220017433,0.2847784757614136,0.10633105039596558,0.8936689496040344,13
p,1.0,0,3,0.045785121619701385,0.46290260553359985,0.29721587896347046,0.7027841210365295,8
p,1.0,0,4,0.0,0.0,0.0,1.0,0
p,1.0,0,5,0.03962147608399391,0.5026524066925049,0.3006317615509033,0.6993682384490967,36
p,1.0,0,6,0.03728002682328224,0.27502548694610596,0.12232905626296997,0.87767094373703,13
p,1.0,0,7,0.028863832354545593,0.4502045512199402,0.24441170692443848,0.7555882930755615,19
p,1.0,0,8,0.0,0.0,0.0,1.0,0
p,1.0,0,9,0.013771602883934975,0.5639853477478027,0.34036004543304443,0.6596399545669556,40
p,1.0,0,10,0.0,0.0,0.0,1.0,0
p,1.0,0,11,0.0075437831692397594,0.40289291739463806,0.17985856533050537,0.8201414346694946,18
p,1.0,0,12,0.03665360063314438,0.33304834365844727,0.15892666578292847,0.8410733342170715,14
p,1.0,0,13,0.009034375660121441,0.09604763984680176,0.01940053701400757,0.9805994629859924,17
p,1.0,0,14,0.02646556682884693,0.33764320611953735,0.14983314275741577,0.8501668572425842,16
p,1.0,0,15,0.0,0.0,0.0,1.0,0
p,1.0,1,0,0.021052327007055283,0.38418158888816833,0.1798909306526184,0.8201090693473816,16
p,1.0,1,1,0.02919907681643963,0.3748530149459839,0.17709261178970337,0.8229073882102966,24
p,1.0,1,2,0.02030492201447487,0.33067697286605835,0.13306397199630737,0.8669360280036926,39
p,1.0,1,3,0.030381204560399055,0.36287638545036316,0.1676487922668457,0.8323512077331543,30
p,1.0,1,4,0.0062437946908175945,0.3026656210422516,0.1006460189819336,0.8993539810180664,36
p,1.0,1,5,0.019451996311545372,0.33302828669548035,0.13537365198135376,0.8646263480186462,27
p,1.0,1,6,0.006452341563999653,0.22326521575450897,0.05774325132369995,0.9422567486763,40
p,1.0,1,7,0.011079343035817146,0.1441427320241928,0.03267323970794678,0.9673267602920532,40
p,1.0,1,8,0.016896532848477364,0.15671159327030182,0.04251819849014282,0.9574818015098572,40
p,1.0,1,9,0.010839210823178291,0.2502559721469879,0.0753510594367981,0.9246489405632019,40
p,1.0,1,10,0.013534191064536572,0.161190003156662,0.04052954912185669,0.9594704508781433,40
p,1.0,1,11,0.010911474004387856,0.24202270805835724,0.07126808166503906,0.9287319183349609,40
p,1.0,1,12,0.018927887082099915,0.33456775546073914,0.13421887159347534,0.8657811284065247,40
p,1.0,1,13,0.022987419739365578,0.28978419303894043,0.10970491170883179,0.8902950882911682,40
p,1.0,1,14,0.015687156468629837,0.18893231451511383,0.05269980430603027,0.9473001956939697,40
p,1.0,1,15,0.0,0.0,0.0,1.0,0
p,1.0,2,0,0.010740304365754128,0.3375997543334961,0.1325085163116455,0.8674914836883545,17
p,1.0,2,1,0.00841427780687809,0.30201104283332825,0.10273826122283936,0.8972617387771606,33
p,1.0,2,2,0.014126351103186607,0.36139440536499023,0.15009266138076782,0.8499073386192322,28
p,1.0,2,3,0.00744282640516758,0.12432759255170822,0.023554444313049316,0.9764455556869507,36
p,1.0,2,4,0.007705752272158861,0.15551599860191345,0.0328289270401001,0.9671710729598999,35
p,1.0,2,5,0.021286802366375923,0.17012332379817963,0.05202263593673706,0.9479773640632629,29
p,1.0,2,6,0.0,0.0,0.0,1.0,1
p,1.0,2,7,0.0036030905321240425,0.5547380447387695,0.3424711227416992,0.6575288772583008,11
p,1.0,2,8,0.012577694840729237,0.315515398979187,0.11542540788650513,0.8845745921134949,35
p,1.0,2,9,0.00023574430088046938,0.2757109999656677,0.079567551612854,0.920432448387146,24
p,1.0,2,10,0.005711761303246021,0.14077189564704895,0.026379406452178955,0.973620593547821,31
p,1.0,2,11,0.022100411355495453,0.5366254448890686,0.31946325302124023,0.6805367469787598,34
p,1.0,2,12,0.00851159356534481,0.23355382680892944,0.06496971845626831,0.9350302815437317,34
p,1.0,2,13,0.015283885411918163,0.3279368281364441,0.12597578763961792,0.8740242123603821,40
p,1.0,2,14,0.0017332653515040874,0.2446063607931137,0.09234827756881714,0.9076517224311829,3
p,1.0,2,15,0.0,0.0,0.0,1.0,0
